week,day,code,workout
1,Day 1,W01D1-Cross Training,"Optional: Rest day, aerobics, yoga, bike..."
1,Day 2,W01D2-Easy Run,"• Mix run and walk, very easy pace, 15 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
1,Day 3,Rest,Rest day.
1,Day 4,W01D4-Intervals,"• Warm up walk, 5 minutes.
• Repeat 4 times, with 30 seconds rest between each:
Run, easy pace, 2 minutes. Recovery walk, 1 minute. Run, easy pace, 2 minutes. 
• Cool down, 5 to 10 minutes.
• Stretch."
1,Day 5,Rest,Rest day.
1,Day 6,Rest,Rest day.
1,Day 7,W01D7-Easy Run,"• Warm up walk, 5 minutes.
• Run, easy pace, 5 minutes.
• Recovery walk, 5 minutes.
• Run, easy pace, 5 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
2,Day 1,Rest,"Optional: Rest day, aerobics, yoga, bike..."
2,Day 2,W02D2-Easy Run,"• Warm up walk, 5 minutes.
• Run, easy pace, 5 minutes.
• Recovery walk, 5 minutes.
• Run, easy pace, 5 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
2,Day 3,Rest,Rest day.
2,Day 4,W02D4-Easy Run,"• Run, easy pace, 5 minutes.
• Recovery walk, 3 minutes.
• Run, easy pace, 5 minutes.
• Recovery walk, 3 minutes.
• Run, easy pace, 5 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
2,Day 5,Rest,Rest day.
2,Day 6,Rest,Optional: Swap Sunday's run to today.
2,Day 7,W02D7-Easy Run,"• Warm up walk, 2 minutes.
• Run, easy pace, 6 minutes.
• Recovery walk, 2 minutes.
• Run, easy pace, 6 minutes.
• Recovery walk, 2 minutes.
• Run, easy pace, 6 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
3,Day 1,W03D1-Cross Training,"Cross train, 30 minutes. Suggestions can be found at: https://github.com/ColinFay/ur-first-5k/discussions/109"
3,Day 2,W03D2-Recovery Run,"• Run, easy pace, 15 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
3,Day 3,Rest,Rest day.
3,Day 4,W03D4-Easy Run,"• Run, easy pace, 10 minutes.
• Recovery walk, 5 minutes.
• Run, easy pace, 10 minutes.
• Cool down, 5 to 10 minutes.
• Stretch"
3,Day 5,Rest,Rest day.
3,Day 6,Rest,Optional: Swap Sunday's run to today.
3,Day 7,W03D7-Easy Run,"• Run, easy pace, 15 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
4,Day 1,W04D1-Cross Training,"Cross train, 30 minutes. Suggestions can be found at: https://github.com/ColinFay/ur-first-5k/discussions/109"
4,Day 2,W04D2-Steady Run,"• Run, easy pace, 5 minutes.
• Run, steady pace, 5 minutes.
• Run, easy pace, 5 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
4,Day 3,Rest,Rest day.
4,Day 4,W04D4-Easy Run,"• Warm up walk, 5 minutes.
• Run, easy pace, 10 minutes.
• Recovery walk, 5 minutes.
• Run, easy pace, 10 minutes.
• Cool down, 5 to 10 minutes.
• Stretch."
